"tm_name";"conference"
"Memphis";"Conference USA"
"North Carolina";"Atlantic Coast"
"Tennessee";"Southeastern"
"Kansas";"Big 12"
"UCLA";"Pacific-10"
"Texas";"Big 12"
"Xavier";"Atlantic 10"
"Georgetown";"Big East"
"Duke";"Atlantic Coast"
"Louisville";"Big East"
"Drake";"Missouri Valley"
"Wisconsin";"Big Ten"
"Butler";"Horizon"
"Michigan St.";"Big Ten"
"Davidson";"Southern"
"Stanford";"Pacific-10"
"Vanderbilt";"Southeastern"
"Pittsburgh";"Big East"
"Kent St.";"Mid-American"
"UNLV";"Mountain West"
"Washington St.";"Pacific-10"
"Marquette";"Big East"
"Connecticut";"Big East"
"Dayton";"Atlantic 10"
"BYU";"Mountain West"
"Western Ky.";"Sun Belt"
"Indiana";"Big Ten"
"West Virginia";"Big East"
"Gonzaga";"West Coast"
"Notre Dame";"Big East"
"Massachusetts";"Atlantic 10"
"Clemson";"Atlantic Coast"
"Arkansas";"Southeastern"
"Oklahoma";"Big 12"
"Illinois St.";"Missouri Valley"
"Ohio St.";"Big Ten"
"St. Mary's (Cal.)";"West Coast"
"South Ala.";"Sun Belt"
"Miami (Fla.)";"Atlantic Coast"
"Southern California";"Pacific-10"
"Texas A&M";"Big 12"
"Mississippi St.";"Southeastern"
"Oral Roberts";"Summit"
"Villanova";"Big East"
"Creighton";"Missouri Valley"
"Mississippi";"Southeastern"
"Purdue";"Big Ten"
"St. Joseph's";"Atlantic 10"
"UAB";"Conference USA"
"Arizona";"Pacific-10"
"Temple";"Atlantic 10"
"Baylor";"Big 12"
"Kansas St.";"Big 12"
"VCU";"Colonial"
"Siena";"Metro Atlantic"
"Stephen F. Austin";"Southland"
"Akron";"Mid-American"
"Syracuse";"Big East"
"George Mason";"Colonial"
"IUPUI";"Summit"
"Cleveland St.";"Horizon"
"Belmont";"Atlantic Sun"
"Virginia Tech";"Atlantic Coast"
"Austin Peay";"OVC"
"Florida";"Southeastern"
"Cornell";"Ivy"
"Houston";"Conference USA"
"UMBC";"America East"
"Southern Ill.";"Missouri Valley"
"Cal St. Fullerton";"Big West"
"American";"Patriot"
"Oregon";"Pacific-10"
"New Mexico";"Mountain West"
"Ohio";"Mid-American"
"Kentucky";"Southeastern"
"Portland St.";"Big Sky"
"Miami (Ohio)";"Mid-American"
"Charlotte";"Atlantic 10"
"Florida St.";"Atlantic Coast"
"Tulsa";"Conference USA"
"Wright St.";"Horizon"
"Utah St.";"Western Athletic"
"Rhode Island";"Atlantic 10"
"UC Santa Barbara";"Big West"
"Georgia Tech";"Atlantic Coast"
"San Diego St.";"Mountain West"
"San Diego";"West Coast"
"Valparaiso";"Horizon"
"Boise St.";"Western Athletic"
"Sam Houston St.";"Southland"
"Maryland";"Atlantic Coast"
"Texas Tech";"Big 12"
"Utah";"Mountain West"
"Arizona St.";"Pacific-10"
"Oklahoma St.";"Big 12"
"Bradley";"Missouri Valley"
"Nevada";"Western Athletic"
"California";"Pacific-10"
"Cal St. Northridge";"Big West"
"Nebraska";"Big 12"
"Marist";"Metro Atlantic"
"Niagara";"Metro Atlantic"
"Winthrop";"Big South"
"Rider";"Metro Atlantic"
"Morgan St.";"Mid-Eastern"
"Wagner";"Northeast"
"Middle Tenn.";"Sun Belt"
"Western Mich.";"Mid-American"
"Brown";"Ivy"
"UNC Greensboro";"Southern"
"Georgia";"Southeastern"
"Northern Ariz.";"Big Sky"
